Date,Open,High,Low,Close,AdjClose
2008-08-04,126.0400,126.1400,124.7600,124.9900,89.9152
2008-08-05,126.0200,128.5600,124.9700,128.3600,92.3395
2008-08-06,128.0200,129.3000,127.4800,128.9300,92.7496
2008-08-07,127.9600,128.4400,126.5400,127.0100,91.3683
2008-08-08,126.5800,129.9300,126.3800,129.3700,93.0661
2008-08-11,129.4700,131.5100,129.2300,130.7100,94.0301
2008-08-12,130.2800,130.7000,128.7300,129.3500,93.0517
2008-08-13,128.7900,129.6500,127.6700,128.5700,92.4906
2008-08-14,127.8400,130.2800,127.7500,129.5400,93.1884
2008-08-15,129.9300,130.5000,129.3000,130.1700,93.6416
2008-08-18,130.4300,130.4800,127.6600,128.3900,92.3611
2008-08-19,127.4200,127.6900,126.5300,126.9900,91.3540
2008-08-20,127.3900,127.9500,126.3400,127.5800,91.7784
2008-08-21,126.7500,128.4400,126.6000,127.8000,91.9367
2008-08-22,128.6700,129.6500,127.8000,129.6500,93.2675
2008-08-25,128.8000,129.6500,126.7500,127.0200,91.3755
2008-08-26,127.0200,127.8700,126.5800,127.3900,91.6417
2008-08-27,127.5500,128.8300,127.3000,128.6300,92.5337
2008-08-28,129.2800,130.3400,129.1100,130.1900,93.6560
2008-08-29,129.7300,130.1400,128.5100,128.7900,92.6489
2008-09-02,130.0300,130.7100,127.5200,127.9900,92.0733
2008-09-03,127.8800,128.5000,126.9300,127.8800,91.9942
2008-09-04,126.9700,127.2300,123.9600,124.0300,89.2246
2008-09-05,123.2900,124.9500,122.0000,124.4200,89.5052
2008-09-08,128.0400,128.2400,124.4200,126.9900,91.3540
2008-09-09,127.1000,127.3600,122.8000,123.2200,88.6419
2008-09-10,123.8900,124.9000,122.5500,123.7200,89.0016
2008-09-11,122.1200,125.7400,121.6000,125.5100,90.2893
2008-09-12,124.2900,126.2100,123.8300,126.0900,90.7065
2008-09-15,121.6300,125.6500,119.8900,120.0900,86.3902
2008-09-16,117.2000,122.3200,117.0000,122.1000,87.8362
2008-09-17,119.6400,121.8500,116.0000,116.6100,83.8868
2008-09-18,118.0500,121.7900,113.8000,120.0700,86.3759
2008-09-19,126.7000,128.0000,123.3300,124.1200,89.8062
2008-09-22,124.4500,124.7500,120.3600,121.3100,87.7730
2008-09-23,120.8500,122.0200,118.2800,118.5500,85.7760
2008-09-24,119.3500,120.0000,117.7900,118.9300,86.0510
2008-09-25,119.4000,121.9100,118.4400,120.7900,87.3968
2008-09-26,118.8300,121.5000,118.5100,120.8500,87.4402
2008-09-29,119.1400,119.3400,110.9700,111.3800,80.5883
2008-09-30,113.5100,116.8000,110.5300,115.9900,83.9238
2008-10-01,115.2700,116.6900,113.9500,116.0600,83.9744
2008-10-02,114.9500,115.1100,111.0600,111.8500,80.9283
2008-10-03,112.8600,115.4500,109.6800,110.3400,79.8358
2008-10-06,107.1500,107.6200,100.6400,104.7200,75.7694
2008-10-07,106.8400,107.3300,99.6500,100.0300,72.3760
2008-10-08,97.5200,102.1800,96.8100,97.5100,70.5527
2008-10-09,99.6600,100.6200,90.2500,90.7000,65.6254
2008-10-10,86.7600,93.9400,83.5800,88.5000,64.0335
2008-10-13,93.8700,101.3500,89.9500,101.3500,73.3311
2008-10-14,104.7000,105.5300,97.1100,99.8500,72.2458
2008-10-15,97.4600,97.8000,89.7100,90.0200,65.1333
2008-10-16,91.2900,94.7700,86.5400,93.7700,67.8466
2008-10-17,91.9900,98.5900,91.6500,93.2100,67.4415
2008-10-20,95.3500,99.1000,94.0900,98.8100,71.4933
2008-10-21,96.9700,98.6400,95.2200,95.8600,69.3589
2008-10-22,93.2000,95.8600,87.5300,90.6400,65.5819
2008-10-23,90.2900,92.4500,85.8100,91.6900,66.3417
2008-10-24,84.0600,89.9200,84.0000,87.0400,62.9772
2008-10-27,85.9700,89.5100,83.7000,83.9500,60.7414
2008-10-28,87.3400,94.2400,84.5300,93.7600,67.8394
2008-10-29,93.7700,97.1700,92.1000,93.0800,67.3474
2008-10-30,95.7800,96.5400,92.9000,96.3000,69.6772
2008-10-31,95.0800,98.5700,94.4800,96.8300,70.0607
2008-11-03,96.7800,97.6900,95.9500,97.1100,70.2633
2008-11-04,99.0600,100.8600,96.7100,100.4100,72.6510
2008-11-05,99.2000,100.7100,95.0000,96.1900,69.5976
2008-11-06,94.4600,95.4400,90.0600,90.8600,65.7411
2008-11-07,91.6500,94.0000,90.5000,93.8600,67.9118
2008-11-10,95.2100,95.5300,90.9200,92.6300,67.0218
2008-11-11,90.7600,92.1400,88.6500,89.7700,64.9525
2008-11-12,88.2300,88.9500,85.1200,85.8200,62.0945
2008-11-13,86.1300,91.7300,82.0900,91.1700,65.9654
2008-11-14,89.4100,92.0600,86.5200,86.6200,62.6733
2008-11-17,86.3800,88.5600,85.1600,85.4700,61.8412
2008-11-18,85.1500,87.2200,82.9100,87.0800,63.0062
2008-11-19,85.9100,86.8700,80.9200,81.5000,58.9688
2008-11-20,80.1300,82.5100,75.0500,75.4500,54.5913
2008-11-21,77.4600,80.9000,74.3400,79.5200,57.5361
2008-11-24,81.9200,86.9900,80.3600,85.0300,61.5229
2008-11-25,87.3000,87.5100,83.8200,85.6600,61.9787
2008-11-26,84.3000,89.1900,84.2400,88.9700,64.3736
2008-11-28,88.6300,90.1300,88.4800,90.0900,65.1840
2008-12-01,87.5100,87.5500,81.8600,82.1100,59.4101
2008-12-02,83.4700,85.4900,82.0400,85.2700,61.6965
2008-12-03,83.4000,87.8300,83.1400,87.3200,63.1798
2008-12-04,86.0600,88.0500,83.7400,85.3000,61.7182
2008-12-05,83.6500,88.4200,82.2400,87.9300,63.6212
2008-12-08,90.3400,92.3800,88.0800,91.0000,65.8424
2008-12-09,90.3700,92.1300,88.9800,89.5000,64.7571
2008-12-10,90.3200,91.3600,89.0000,90.1100,65.1985
2008-12-11,89.5400,91.0000,87.3700,87.9400,63.6284
2008-12-12,85.5500,89.0700,85.2000,88.9900,64.3881
2008-12-15,89.0200,89.1500,86.2900,87.7500,63.4909
2008-12-16,91.8800,92.0200,88.1800,91.8800,66.4791
2008-12-17,90.8400,92.4300,90.0600,90.9900,65.8352
2008-12-18,91.4000,91.6700,88.2100,89.2900,64.6052
2008-12-19,89.1000,90.6200,88.0900,88.1900,64.3273
2008-12-22,88.5800,88.6700,85.4900,87.0600,63.5030
2008-12-23,87.5300,87.9300,85.8000,86.1600,62.8466
2008-12-24,86.4500,86.8700,86.0000,86.6600,63.2113
2008-12-26,87.2400,87.3000,86.5000,87.1600,63.5760
2008-12-29,87.2400,87.3300,85.6000,86.9100,63.3936
2008-12-30,87.5100,89.0500,86.8800,88.9700,64.8962
2008-12-31,89.0800,90.9700,88.8700,90.2400,65.8226
2009-01-02,90.4400,93.4400,89.8500,92.9600,67.8066
2009-01-05,92.6300,93.6600,91.8900,92.8500,67.7263
2009-01-06,93.6400,94.4500,92.6800,93.4700,68.1786
2009-01-07,92.0000,92.2600,90.2000,90.6700,66.1362
2009-01-08,90.1600,91.0900,89.6700,91.0400,66.4061
2009-01-09,91.1600,91.3200,85.3600,89.0900,64.9838
2009-01-12,88.8400,88.9100,86.4100,86.9500,63.4228
2009-01-13,86.7300,87.8800,86.2000,87.1100,63.5395
2009-01-14,85.5400,85.7500,83.1600,84.3700,61.5409
2009-01-15,84.1200,85.2500,81.7200,84.4000,61.5628
2009-01-16,85.8600,85.9900,83.0500,85.0600,62.0442
2009-01-20,84.2300,85.0600,80.0500,80.5700,58.7691
2009-01-21,81.9400,84.2400,80.4700,84.0500,61.3075
2009-01-22,82.4200,84.0400,81.1700,82.7500,60.3592
2009-01-23,80.9000,83.9900,80.5700,83.1100,60.6218
2009-01-26,83.5900,85.3600,82.8100,83.6800,61.0376
2009-01-27,84.1300,85.1500,83.3000,84.5300,61.6576
2009-01-28,86.4000,87.9500,86.0700,87.3900,63.7437
2009-01-29,86.1100,87.4900,84.4700,84.5500,61.6722
2009-01-30,84.9800,85.4000,82.2100,82.8300,60.4176
2009-02-02,81.5700,83.1800,81.3100,82.5800,60.2352
2009-02-03,83.1000,84.3600,82.2200,83.7400,61.0814
2009-02-04,84.3000,85.3700,83.0400,83.3300,60.7823
2009-02-05,82.7000,85.2900,77.7300,84.5700,61.6868
2009-02-06,84.8600,87.3400,84.6800,86.9800,63.4447
2009-02-09,86.9600,87.7400,86.3200,87.1000,63.5322
2009-02-10,86.2700,87.0300,82.4500,83.1100,60.6218
2009-02-11,83.4500,84.0500,82.4000,83.6000,60.9792
2009-02-12,82.1700,83.8200,81.0500,83.6600,61.0230
2009-02-13,83.5500,84.2400,82.7400,82.7600,60.3665
2009-02-17,80.1600,82.9600,79.1700,79.2200,57.7844
2009-02-18,79.7900,79.9400,78.2800,79.0300,57.6458
2009-02-19,79.8400,80.1500,78.0200,78.1800,57.0258
2009-02-20,76.7300,78.3400,75.7700,77.4200,56.4714
2009-02-23,78.2700,78.2700,74.5900,74.6500,54.4510
2009-02-24,75.2900,77.9500,74.7000,77.4800,56.5152
2009-02-25,77.1400,78.4200,75.6300,76.8700,56.0703
2009-02-26,77.8200,79.6700,75.5300,75.6200,55.1585
2009-02-27,74.0100,75.6900,73.8100,73.9300,53.9258
2009-03-02,72.5200,73.9200,70.3700,70.6000,51.4968
2009-03-03,71.6100,71.7000,69.6400,70.0700,51.1102
2009-03-04,71.2300,72.8700,70.0700,71.7300,52.3211
2009-03-05,70.1000,71.7300,68.1700,68.8000,50.1839
2009-03-06,69.4000,70.4500,67.1000,68.9200,50.2714
2009-03-09,67.9500,70.0000,67.7300,68.1100,49.6806
2009-03-10,69.5100,72.3700,69.3700,72.1700,52.6420
2009-03-11,73.0000,73.7500,71.8300,72.6400,52.9848
2009-03-12,72.6200,75.7500,71.9700,75.5000,55.0709
2009-03-13,76.0100,76.9800,74.7300,76.0900,55.5013
2009-03-16,76.9600,77.9700,75.8100,75.8600,55.3335
2009-03-17,76.0700,78.3600,75.4500,78.1800,57.0258
2009-03-18,77.8100,80.9000,77.0700,79.9300,58.3022
2009-03-19,80.9300,81.0000,78.6900,78.9400,57.5802
2009-03-20,78.7600,78.9100,76.5300,76.7100,56.3540
2009-03-23,78.7400,82.2900,78.3100,82.2200,60.4019
2009-03-24,81.2400,82.3600,80.5100,80.6000,59.2118
2009-03-25,81.2300,82.7000,79.0600,81.4500,59.8362
